Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease, all ages†, Confirmed, Current week","Invasive Pneumococcal Disease, all ages†, Confirmed, Current week, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017","Invasive Pneumococcal Disease, all ages†, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease, all ages†, Probable, Current week","Invasive Pneumococcal Disease, all ages†, Probable, Current week, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease, all ages†, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2018, flag","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017","Invasive Pneumococcal Disease, all ages†, Probable, Cum 2017, flag",Location 1,Location 2
PENNSYLVANIA,2018,25,4,,10,,26,,349,,351,,,-,0,,2,,7,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW JERSEY,2018,25,3,,8,,26,,209,,391,,,-,0,,2,,16,,9,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2018,25,,-,12,,39,,412,,433,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2018,25,5,,12,,40,,447,,361,,1,,1,,5,,26,,7,,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2018,25,5,,14,,56,,558,,426,,,-,0,,2,,11,,1,,"ARIZONA
(34.869712, -111.760902)",
WYOMING,2018,25,,-,0,,3,,14,,19,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GUAM,2018,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2018,25,,-,2,,9,,52,,78,,,-,0,,1,,2,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2018,25,,-,26,,276,,981,,838,,,-,0,,2,,8,,6,,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2018,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2018,25,1,,5,,16,,158,,147,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2018,25,8,,9,,27,,306,,288,,,-,0,,1,,2,,5,,"MARYLAND
(39.290443, -76.612333)",
OREGON,2018,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEVADA,2018,25,,-,2,,11,,38,,157,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2018,25,6,,8,,28,,267,,204,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
NEW MEXICO,2018,25,2,,5,,20,,186,,185,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2018,25,,-,1,,5,,40,,25,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2018,25,,-,15,,41,,387,,537,,,-,0,,2,,11,,12,,"MICHIGAN
(44.66399, -84.711206)",
COLORADO,2018,25,7,,12,,54,,403,,324,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MASSACHUSETTS,2018,25,,-,9,,23,,272,,375,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH DAKOTA,2018,25,,-,1,,5,,40,,47,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DIST. OF COL.,2018,25,,-,1,,4,,39,,33,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
DELAWARE,2018,25,,-,1,,5,,46,,46,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OKLAHOMA,2018,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2018,25,3,,15,,42,,461,,560,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2018,25,,-,4,,11,,140,,171,,,-,0,,1,,2,,,-,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2018,26,118,,346,,1072,,10911,,11314,,3,,4,,13,,143,,86,,,
NEW ENGLAND,2018,26,1,,22,,59,,625,,751,,,-,0,,1,,1,,5,,,
RHODE ISLAND,2018,26,,-,1,,10,,30,,38,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MID. ATLANTIC,2018,26,21,,50,,153,,1561,,1665,,2,,1,,3,,37,,35,,,
NEW YORK CITY,2018,26,9,,13,,30,,444,,398,,,-,0,,2,,4,,,-,,
E.N. CENTRAL,2018,26,13,,61,,148,,1914,,1991,,,-,1,,3,,30,,14,,,
W.N. CENTRAL,2018,26,8,,29,,64,,800,,1038,,1,,1,,6,,33,,10,,,
S. ATLANTIC,2018,26,25,,55,,150,,1654,,2063,,,-,0,,2,,17,,11,,,
E.S. CENTRAL,2018,26,7,,35,,101,,1236,,1146,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2018,26,27,,43,,336,,1607,,1215,,,-,0,,2,,11,,6,,,
MOUNTAIN,2018,26,16,,40,,128,,1392,,1323,,,-,0,,2,,13,,4,,,
PACIFIC,2018,26,,-,5,,9,,122,,122,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
INDIANA,2018,26,,-,12,,39,,412,,440,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2018,26,,-,2,,11,,40,,160,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MONTANA,2018,26,3,,2,,7,,70,,49,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2018,26,15,,13,,52,,411,,333,,,-,0,,2,,9,,4,,"FLORIDA
(28.915325, -81.922409)",
C.N.M.I.,2018,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2018,26,7,,23,,62,,813,,689,,,-,0,,3,,19,,2,,"OHIO
(40.056807, -82.405897)",
DELAWARE,2018,26,,-,1,,5,,46,,46,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WASHINGTON,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2018,26,,-,2,,10,,89,,84,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GUAM,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2018,26,1,,8,,31,,260,,228,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2018,26,4,,8,,27,,310,,169,,,-,0,,2,,2,,,-,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2018,26,1,,6,,48,,183,,194,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WYOMING,2018,26,,-,0,,3,,14,,19,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
COLORADO,2018,26,4,,12,,54,,407,,331,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2018,26,,-,1,,4,,41,,37,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2018,26,2,,8,,28,,271,,204,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2018,26,,-,9,,23,,272,,381,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2018,26,,-,5,,20,,187,,186,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2018,26,2,,3,,9,,94,,112,,,-,0,,1,,3,,2,,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2018,26,4,,15,,42,,486,,570,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH DAKOTA,2018,26,,-,1,,5,,41,,47,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NORTH CAROLINA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2018,26,6,,12,,40,,457,,367,,1,,1,,5,,26,,7,,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2018,26,8,,15,,56,,569,,435,,,-,0,,2,,12,,1,,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2018,26,,-,8,,26,,213,,399,,,-,0,,2,,16,,9,,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2018,26,,-,5,,16,,163,,150,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW HAMPSHIRE,2018,26,,-,3,,6,,74,,57,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2018,26,,-,2,,9,,53,,81,,,-,0,,1,,2,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2018,26,,-,9,,30,,181,,612,,,-,0,,1,,4,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2018,26,4,,5,,15,,177,,142,,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KANSAS,2018,26,,-,4,,11,,142,,174,,,-,0,,1,,2,,,-,"KANSAS
(38.345528, -98.201847)",
TEXAS,2018,26,22,,28,,276,,1114,,852,,,-,0,,2,,9,,6,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2018,26,8,,16,,86,,549,,514,,1,,0,,1,,9,,4,,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2018,26,,-,0,,3,,10,,18,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2018,26,5,,8,,25,,293,,313,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2018,26,1,,1,,5,,42,,26,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UTAH,2018,26,1,,4,,11,,105,,143,,,-,0,,1,,1,,1,,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2018,26,,-,3,,16,,118,,165,,,-,0,,0,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2018,26,,-,3,,7,,75,,57,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
HAWAII,2018,26,,-,1,,5,,47,,65,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2018,26,6,,9,,27,,316,,297,,,-,0,,1,,2,,5,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2018,26,,-,3,,18,,13,,257,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2018,26,4,,10,,26,,355,,354,,1,,0,,2,,8,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
IDAHO,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2018,26,,-,14,,43,,528,,572,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MICHIGAN,2018,26,1,,14,,41,,396,,549,,,-,0,,2,,11,,12,,"MICHIGAN
(44.66399, -84.711206)",
UNITED STATES,2018,26,118,,346,,1072,,10911,,11314,,3,,4,,13,,143,,86,,,
NEW ENGLAND,2018,26,1,,22,,59,,625,,751,,,-,0,,1,,1,,5,,,
MID. ATLANTIC,2018,26,21,,50,,153,,1561,,1665,,2,,1,,3,,37,,35,,,
NEW YORK CITY,2018,26,9,,13,,30,,444,,398,,,-,0,,2,,4,,,-,,
E.N. CENTRAL,2018,26,13,,61,,148,,1914,,1991,,,-,1,,3,,30,,14,,,
W.N. CENTRAL,2018,26,8,,29,,64,,800,,1038,,1,,1,,6,,33,,10,,,
S. ATLANTIC,2018,26,25,,55,,150,,1654,,2063,,,-,0,,2,,17,,11,,,
E.S. CENTRAL,2018,26,7,,35,,101,,1236,,1146,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2018,26,27,,43,,336,,1607,,1215,,,-,0,,2,,11,,6,,,
MOUNTAIN,2018,26,16,,40,,128,,1392,,1323,,,-,0,,2,,13,,4,,,
PACIFIC,2018,26,,-,5,,9,,122,,122,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NORTH DAKOTA,2018,26,,-,1,,5,,41,,47,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2018,26,6,,9,,27,,316,,297,,,-,0,,1,,2,,5,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2018,26,,-,12,,39,,412,,440,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
PUERTO RICO,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2018,26,,-,1,,10,,30,,38,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH DAKOTA,2018,26,,-,2,,9,,53,,81,,,-,0,,1,,2,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2018,26,3,,2,,7,,70,,49,,,-,0,,1,,,-,2,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2018,26,4,,12,,54,,407,,331,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MINNESOTA,2018,26,,-,3,,18,,13,,257,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ARKANSAS,2018,26,1,,6,,48,,183,,194,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2018,26,4,,8,,27,,310,,169,,,-,0,,2,,2,,,-,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2018,26,1,,14,,41,,396,,549,,,-,0,,2,,11,,12,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
PENNSYLVANIA,2018,26,4,,10,,26,,355,,354,,1,,0,,2,,8,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2018,26,,-,1,,5,,47,,65,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NORTH CAROLINA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
KENTUCKY,2018,26,2,,8,,28,,271,,204,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
FLORIDA,2018,26,15,,13,,52,,411,,333,,,-,0,,2,,9,,4,,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2018,26,1,,8,,31,,260,,228,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2018,26,8,,15,,56,,569,,435,,,-,0,,2,,12,,1,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2018,26,,-,1,,5,,46,,46,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2018,26,22,,28,,276,,1114,,852,,,-,0,,2,,9,,6,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ALASKA,2018,26,,-,3,,7,,75,,57,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
VERMONT,2018,26,1,,1,,5,,42,,26,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2018,26,,-,8,,26,,213,,399,,,-,0,,2,,16,,9,,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2018,26,,-,2,,11,,40,,160,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSOURI,2018,26,6,,12,,40,,457,,367,,1,,1,,5,,26,,7,,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2018,26,2,,3,,9,,94,,112,,,-,0,,1,,3,,2,,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2018,26,1,,4,,11,,105,,143,,,-,0,,1,,1,,1,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2018,26,,-,14,,43,,528,,572,,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
OREGON,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
MASSACHUSETTS,2018,26,,-,9,,23,,272,,381,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSISSIPPI,2018,26,4,,5,,15,,177,,142,,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
C.N.M.I.,2018,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2018,26,,-,3,,6,,74,,57,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2018,26,5,,8,,25,,293,,313,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2018,26,,-,4,,11,,142,,174,,,-,0,,1,,2,,,-,"KANSAS
(38.345528, -98.201847)",
DIST. OF COL.,2018,26,,-,1,,4,,41,,37,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OHIO,2018,26,7,,23,,62,,813,,689,,,-,0,,3,,19,,2,,"OHIO
(40.056807, -82.405897)",
ILLINOIS,2018,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2018,26,,-,0,,3,,10,,18,,,-,0,,1,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2018,26,,-,5,,20,,187,,186,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH CAROLINA,2018,26,,-,9,,30,,181,,612,,,-,0,,1,,4,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2018,26,,-,0,,3,,14,,19,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2018,26,,-,2,,10,,89,,84,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
GEORGIA,2018,26,4,,15,,42,,486,,570,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
GUAM,2018,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2018,26,8,,16,,86,,549,,514,,1,,0,,1,,9,,4,,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2018,26,,-,5,,16,,163,,150,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
CONNECTICUT,2018,26,,-,3,,16,,118,,165,,,-,0,,0,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2018,27,57,,350,,1072,,11070,,11505,,3,,4,,13,,146,,86,,,
NEW ENGLAND,2018,27,1,,22,,59,,626,,772,,,-,0,,1,,1,,5,,,
MID. ATLANTIC,2018,27,17,,50,,153,,1582,,1695,,1,,1,,3,,37,,35,,,
NEW YORK CITY,2018,27,5,,13,,30,,451,,407,,,-,0,,2,,4,,,-,,
E.N. CENTRAL,2018,27,10,,61,,148,,1948,,2020,,1,,1,,3,,31,,14,,,
W.N. CENTRAL,2018,27,2,,29,,64,,817,,1053,,,-,1,,6,,33,,10,,,
S. ATLANTIC,2018,27,9,,56,,150,,1678,,2091,,,-,0,,2,,17,,11,,,
E.S. CENTRAL,2018,27,2,,35,,101,,1244,,1169,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2018,27,6,,43,,336,,1645,,1236,,1,,0,,2,,13,,6,,,
MOUNTAIN,2018,27,10,,40,,128,,1406,,1345,,,-,0,,2,,13,,4,,,
PACIFIC,2018,27,,-,5,,9,,124,,124,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
ALABAMA,2018,27,,-,8,,31,,265,,230,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MISSISSIPPI,2018,27,,-,5,,15,,178,,147,,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2018,27,,-,1,,5,,51,,47,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
PUERTO RICO,2018,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
KENTUCKY,2018,27,2,,8,,28,,273,,210,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2018,27,,-,1,,10,,30,,39,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
HAWAII,2018,27,,-,1,,5,,49,,65,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2018,27,,-,8,,26,,214,,411,,1,,0,,2,,17,,9,,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2018,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
LOUISIANA,2018,27,1,,8,,27,,315,,171,,,-,0,,2,,2,,,-,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2018,27,8,,23,,62,,818,,702,,1,,0,,3,,20,,2,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2018,27,,-,15,,42,,492,,579,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
MICHIGAN,2018,27,,-,15,,41,,407,,559,,,-,0,,2,,11,,12,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2018,27,,-,4,,11,,146,,178,,,-,0,,1,,3,,,-,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2018,27,1,,5,,20,,191,,190,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
TEXAS,2018,27,2,,28,,276,,1116,,870,,1,,0,,2,,10,,6,,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2018,27,,-,5,,16,,165,,154,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MARYLAND,2018,27,4,,9,,27,,321,,298,,,-,0,,1,,2,,5,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MISSOURI,2018,27,2,,12,,40,,464,,369,,,-,1,,5,,26,,7,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2018,27,,-,3,,6,,74,,60,,,-,0,,1,,1,,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2018,27,,-,1,,4,,43,,37,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2018,27,1,,2,,10,,90,,87,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARKANSAS,2018,27,3,,6,,48,,214,,195,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
NEVADA,2018,27,,-,2,,11,,40,,162,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2018,27,4,,15,,56,,573,,439,,,-,0,,2,,12,,1,,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2018,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2018,27,,-,8,,25,,293,,315,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2018,27,,-,0,,3,,14,,21,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UTAH,2018,27,,-,3,,11,,106,,146,,,-,0,,1,,1,,1,,"UTAH
(39.359772, -111.584173)",
IDAHO,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
WASHINGTON,2018,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2018,27,,-,1,,5,,42,,26,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2018,27,5,,13,,52,,415,,339,,,-,0,,2,,9,,4,,"FLORIDA
(28.915325, -81.922409)",
