Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
COLORADO,2017,25,6,,10,,19,,297,,290,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MONTANA,2017,25,,-,2,,4,,45,,61,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
UTAH,2017,25,2,,4,,10,,99,,146,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
C.N.M.I.,2017,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
SOUTH DAKOTA,2017,25,2,,2,,7,,78,,78,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2017,25,3,,10,,22,,317,,338,,,-,0,,4,,19,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
WASHINGTON,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
CONNECTICUT,2017,25,,-,5,,18,,152,,127,,,-,0,,2,,2,,,-,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
WYOMING,2017,25,,-,0,,3,,10,,21,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,25,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
MARYLAND,2017,25,9,,9,,19,,277,,261,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
LOUISIANA,2017,25,,-,5,,13,,151,,208,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2017,25,,-,2,,5,,47,,40,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,25,1,,1,,5,,24,,51,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2017,25,,-,4,,13,,118,,176,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,25,2,,2,,6,,55,,66,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,25,,-,1,,6,,45,,43,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2017,25,1,,8,,24,,347,,17,,,-,0,,3,,11,,1,,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2017,25,1,,15,,38,,480,,477,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2017,25,,-,18,,52,,637,,626,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
MASSACHUSETTS,2017,25,,-,12,,28,,374,,293,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2017,25,,-,6,,26,,166,,204,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,25,2,,3,,10,,92,,105,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2017,25,,-,1,,2,,16,,16,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEVADA,2017,25,,-,3,,16,,120,,133,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,25,2,,14,,28,,394,,553,,,-,0,,2,,3,,5,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2017,25,1,,8,,38,,418,,214,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2017,25,16,,26,,179,,809,,943,,,-,0,,2,,6,,,-,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2017,25,,-,2,,14,,,-,283,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,25,,-,2,,8,,54,,43,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2017,25,9,,5,,32,,187,,148,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2017,25,3,,2,,10,,79,,77,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
FLORIDA,2017,25,8,,10,,25,,348,,400,,,-,0,,2,,4,,,-,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2017,25,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
ARIZONA,2017,25,12,,11,,28,,416,,497,,,-,0,,1,,3,,,-,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2017,25,1,,5,,13,,181,,197,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,25,,-,11,,33,,302,,397,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW HAMPSHIRE,2017,25,1,,1,,6,,49,,62,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2017,25,,-,0,,3,,2,,38,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UNITED STATES,2017,26,91,,323,,789,,9789,,10294,,,-,1,,12,,70,,9,,,
NEW ENGLAND,2017,26,1,,24,,51,,712,,646,,,-,0,,2,,2,,,-,,
MID. ATLANTIC,2017,26,35,,52,,129,,1385,,1594,,,-,0,,8,,32,,,-,,
NEW YORK CITY,2017,26,3,,12,,29,,385,,371,,,-,0,,2,,2,,,-,,
E.N. CENTRAL,2017,26,4,,54,,108,,1658,,1863,,,-,0,,2,,6,,5,,,
W.N. CENTRAL,2017,26,4,,27,,47,,731,,660,,,-,0,,3,,12,,2,,,
S. ATLANTIC,2017,26,14,,52,,119,,1802,,1736,,,-,0,,3,,7,,,-,,
E.S. CENTRAL,2017,26,6,,31,,72,,1009,,981,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2017,26,7,,35,,231,,1158,,1341,,,-,0,,2,,6,,,-,,
MOUNTAIN,2017,26,20,,36,,69,,1225,,1363,,,-,0,,1,,4,,1,,,
PACIFIC,2017,26,,-,4,,11,,109,,110,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
LOUISIANA,2017,26,,-,5,,13,,151,,215,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2017,26,3,,10,,22,,334,,346,,,-,0,,4,,21,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2017,26,,-,5,,11,,129,,135,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2017,26,26,,16,,70,,512,,531,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
VIRGINIA,2017,26,,-,1,,2,,16,,17,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2017,26,,-,12,,28,,374,,296,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2017,26,3,,5,,32,,189,,149,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2017,26,,-,5,,14,,155,,127,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NORTH CAROLINA,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
SOUTH DAKOTA,2017,26,,-,2,,7,,78,,79,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MICHIGAN,2017,26,,-,14,,28,,417,,564,,,-,0,,2,,4,,5,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,26,3,,7,,22,,154,,346,,,-,0,,2,,9,,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,26,,-,5,,18,,154,,127,,,-,0,,2,,2,,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW HAMPSHIRE,2017,26,,-,1,,6,,49,,63,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2017,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VIRGIN ISL.,2017,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DIST. OF COL.,2017,26,,-,0,,3,,2,,39,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,26,3,,8,,37,,421,,215,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
RHODE ISLAND,2017,26,,-,1,,11,,30,,31,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ALASKA,2017,26,,-,2,,6,,55,,67,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MAINE,2017,26,,-,2,,10,,80,,78,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,26,1,,1,,5,,25,,51,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,26,,-,6,,26,,168,,207,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEW MEXICO,2017,26,,-,5,,13,,185,,199,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2017,26,3,,9,,24,,358,,22,,,-,0,,3,,9,,1,,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,26,,-,4,,13,,124,,180,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TENNESSEE,2017,26,5,,16,,38,,508,,491,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
FLORIDA,2017,26,,-,10,,25,,348,,409,,,-,0,,2,,4,,,-,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2017,26,1,,11,,33,,318,,402,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MONTANA,2017,26,3,,2,,4,,48,,63,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2017,26,1,,4,,17,,204,,148,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
NEBRASKA,2017,26,1,,3,,10,,93,,107,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
UTAH,2017,26,2,,4,,10,,101,,147,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2017,26,,-,2,,5,,47,,41,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2017,26,,-,4,,16,,154,,136,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,26,8,,10,,19,,305,,294,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2017,26,9,,9,,19,,289,,268,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2017,26,,-,0,,3,,10,,21,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
GUAM,2017,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2017,26,,-,1,,6,,46,,43,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,26,7,,11,,28,,422,,503,,,-,0,,1,,2,,,-,"ARIZONA
(34.869712, -111.760902)",
WASHINGTON,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,26,4,,26,,189,,818,,977,,,-,0,,2,,6,,,-,"TEXAS
(31.827233, -99.423022)",
HAWAII,2017,26,,-,2,,8,,54,,43,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2017,26,,-,19,,52,,637,,640,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
MINNESOTA,2017,26,,-,2,,14,,,-,284,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,26,2,,17,,39,,556,,565,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,26,3,,9,,22,,286,,257,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,26,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2017,27,81,,323,,789,,10029,,10481,,,-,1,,12,,70,,9,,,
NEW ENGLAND,2017,27,4,,25,,51,,733,,646,,,-,0,,2,,2,,,-,,
MID. ATLANTIC,2017,27,23,,52,,129,,1413,,1627,,,-,0,,8,,32,,,-,,
NEW YORK CITY,2017,27,14,,12,,29,,399,,379,,,-,0,,2,,2,,,-,,
E.N. CENTRAL,2017,27,14,,56,,108,,1749,,1908,,,-,0,,2,,6,,5,,,
W.N. CENTRAL,2017,27,6,,27,,47,,755,,682,,,-,0,,3,,12,,2,,,
S. ATLANTIC,2017,27,6,,52,,119,,1830,,1760,,,-,0,,3,,7,,,-,,
E.S. CENTRAL,2017,27,9,,32,,72,,1027,,993,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2017,27,14,,35,,231,,1176,,1367,,,-,0,,2,,6,,,-,,
MOUNTAIN,2017,27,3,,36,,69,,1232,,1387,,,-,0,,1,,4,,1,,,
PACIFIC,2017,27,2,,4,,11,,114,,111,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
TEXAS,2017,27,13,,26,,189,,835,,994,,,-,0,,2,,6,,,-,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,27,1,,9,,24,,361,,26,,,-,0,,3,,9,,1,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,27,2,,7,,22,,158,,351,,,-,0,,2,,9,,,-,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2017,27,,-,0,,3,,10,,22,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WISCONSIN,2017,27,1,,9,,22,,291,,264,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
PENNSYLVANIA,2017,27,,-,10,,22,,339,,354,,,-,0,,4,,21,,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2017,27,,-,2,,5,,47,,41,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
WASHINGTON,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MISSISSIPPI,2017,27,1,,6,,11,,135,,136,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2017,27,7,,16,,70,,517,,543,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
INDIANA,2017,27,,-,11,,33,,327,,413,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2017,27,,-,5,,18,,154,,129,,,-,0,,2,,2,,,-,"CONNECTICUT
(41.544654, -72.651713)",
MAINE,2017,27,3,,2,,10,,83,,81,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
LOUISIANA,2017,27,,-,5,,13,,151,,220,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,27,,-,8,,37,,423,,219,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALABAMA,2017,27,,-,6,,26,,168,,212,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2017,27,2,,3,,10,,95,,112,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2017,27,2,,2,,6,,60,,68,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
DIST. OF COL.,2017,27,,-,0,,3,,2,,39,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH DAKOTA,2017,27,1,,2,,7,,82,,82,,,-,0,,1,,1,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2017,27,,-,4,,16,,155,,139,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
KANSAS,2017,27,2,,5,,14,,170,,128,,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
RHODE ISLAND,2017,27,,-,1,,11,,32,,32,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
COLORADO,2017,27,,-,10,,19,,305,,297,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2017,27,1,,4,,17,,206,,148,,,-,0,,1,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,27,1,,11,,28,,424,,509,,,-,0,,1,,2,,,-,"ARIZONA
(34.869712, -111.760902)",
IOWA,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MASSACHUSETTS,2017,27,,-,12,,28,,386,,304,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2017,27,1,,5,,32,,190,,153,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2017,27,13,,19,,52,,702,,650,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,27,1,,1,,6,,53,,63,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MARYLAND,2017,27,,-,9,,19,,289,,272,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,27,,-,17,,39,,559,,571,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2017,27,,-,1,,6,,46,,43,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
VIRGINIA,2017,27,,-,0,,2,,16,,17,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
PUERTO RICO,2017,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW MEXICO,2017,27,,-,5,,13,,185,,203,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,27,,-,4,,13,,130,,181,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
HAWAII,2017,27,,-,2,,8,,54,,43,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
GUAM,2017,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MICHIGAN,2017,27,,-,14,,28,,429,,581,,,-,0,,2,,4,,5,,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2017,27,7,,16,,38,,518,,497,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
VIRGIN ISL.,2017,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2017,27,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
C.N.M.I.,2017,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2017,27,,-,1,,14,,,-,293,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MONTANA,2017,27,,-,2,,4,,49,,65,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
VERMONT,2017,27,,-,1,,5,,25,,37,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,27,2,,4,,10,,104,,152,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
FLORIDA,2017,27,6,,10,,24,,365,,418,,,-,0,,2,,4,,,-,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2017,28,101,,324,,789,,10256,,10682,,,-,1,,12,,70,,9,,,
NEW ENGLAND,2017,28,1,,25,,51,,743,,664,,,-,0,,2,,2,,,-,,
MID. ATLANTIC,2017,28,31,,52,,129,,1451,,1657,,,-,0,,8,,32,,,-,,
NEW YORK CITY,2017,28,13,,13,,29,,412,,387,,,-,0,,2,,2,,,-,,
CONNECTICUT,2017,28,,-,5,,18,,156,,133,,,-,0,,2,,2,,,-,"CONNECTICUT
(41.544654, -72.651713)",
E.N. CENTRAL,2017,28,11,,56,,108,,1777,,1935,,,-,0,,2,,6,,5,,,
W.N. CENTRAL,2017,28,6,,27,,47,,771,,698,,,-,0,,3,,12,,2,,,
S. ATLANTIC,2017,28,11,,54,,119,,1862,,1796,,,-,0,,3,,7,,,-,,
E.S. CENTRAL,2017,28,9,,33,,72,,1063,,1009,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2017,28,16,,35,,231,,1214,,1403,,,-,0,,2,,6,,,-,,
MOUNTAIN,2017,28,16,,36,,69,,1256,,1405,,,-,0,,1,,4,,1,,,
PACIFIC,2017,28,,-,4,,11,,119,,115,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
NEW MEXICO,2017,28,2,,5,,13,,190,,206,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2017,28,,-,14,,28,,437,,589,,,-,0,,2,,4,,5,,"MICHIGAN
(44.66399, -84.711206)",
VIRGINIA,2017,28,,-,0,,2,,16,,17,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2017,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ARKANSAS,2017,28,2,,5,,32,,192,,156,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MARYLAND,2017,28,,-,9,,19,,289,,275,,,-,0,,1,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2017,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
DELAWARE,2017,28,,-,1,,6,,46,,43,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,28,9,,19,,52,,711,,658,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
DIST. OF COL.,2017,28,,-,0,,3,,2,,39,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,28,,-,6,,11,,137,,136,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2017,28,2,,3,,10,,98,,115,,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2017,28,,-,2,,8,,59,,45,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WEST VIRGINIA,2017,28,,-,4,,13,,133,,183,,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSOURI,2017,28,3,,9,,24,,369,,27,,,-,0,,3,,9,,1,,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2017,28,1,,1,,5,,26,,37,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH DAKOTA,2017,28,1,,2,,5,,50,,43,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WISCONSIN,2017,28,2,,9,,22,,293,,268,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2017,28,,-,1,,4,,49,,65,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
